Job Title,Role,Level,Company,Year Of Experiences,Location,Salary Range,Required Skills,Source Platform
Trưởng Phòng IT,Trưởng Phòng IT,N/A,Vifon,3 năm kinh nghiệm,VIFON,"$ 1,500-3,500 /tháng","Project Management, IT System Administration, IT Operations, ERP, Công Nghệ Thông Tin",https://www.vietnamworks.com/truong-phong-it--1842756-jv?source=searchResults&searchType=2&placement=1842806&sortBy=latest
"Software Engineer - Integration Build (C, C++, Python) (Quantity: 03)","Software Engineer - Integration Build C, C++, Python Quantity: 03",N/A,LG Electronics R&D Vietnam,Không yêu cầu năm kinh nghiệm,"Tòa Lotte Mall 272 Võ Chí Công, Phường Phú Thượng, Quận Tây Hồ, Hà Nội","Tới $ 2,200 /tháng","C++, Java, Embedded Linux, Python, Kotlin",https://www.vietnamworks.com/software-engineer-integration-build-c-c-plus-plus-python-quantity-03--1849101-jv?source=searchResults&searchType=2&placement=1849501&sortBy=latest
"Java Developer (Spring, OOP)","Java Developer Spring, OOP",N/A,Techcom Securities (Tcbs),Không yêu cầu năm kinh nghiệm,"Tòa nhà C5, 119 Trần Duy Hưng, Cầu Giấy, Hà Nội","$ 1,000-2,500 /tháng","Tài Chính Ngân Hàng, Java, Spring, OOP, Oracle",https://www.vietnamworks.com/java-developer-spring-oop-1834855-jv?source=searchResults&searchType=2&placement=1835155&sortBy=latest
Graphic Designer,Graphic Designer,N/A,Vacons Architects (Interior Design & Build),1 năm kinh nghiệm,"Villa No. 25, Street No. 34, An Khanh Ward, Thu Duc City (Dist.2), HCMC",10tr-15tr ₫/tháng,"Illustrator, Illustrator, Photoshop, Premiere, Premiere, Premiere, Quay Dựng Video, Thiết Kế 2D",https://www.vietnamworks.com/graphic-designer-1852341-jv?source=searchResults&searchType=2&placement=1852541&sortBy=latest
RF Engineer,RF Engineer,N/A,Công Ty TNHH Công Nghệ Huawei Việt Nam,2 năm kinh nghiệm,"33F, Keangnam Landmark, Pham Hung, Nam Tu Liem, Hanoi",Thương lượng,"Database Technology, Effective Communication, Radio Design, Software System Architecture, Telecommunications",https://www.vietnamworks.com/rf-engineer-1849471-jv?source=searchResults&searchType=2&placement=1849821&sortBy=latest
Data Governance,Data Governance,N/A,Ban Vien Company,Không yêu cầu năm kinh nghiệm,"Ban Vien Tower, 54-56-58 Street 2, Van Phuc Residences, Hiep Binh Phuoc Ward, Thu Duc City, Ho Chi Minh City, Vietnam",Thương lượng,"ISO 27001, Data Governance Principles, Data protection regulations, Security Tools And Frameworks, Analytical Skills",https://www.vietnamworks.com/data-governance-1854320-jv?source=searchResults&searchType=2&placement=1854370&sortBy=latest
Analyst - IT Advisory - December 2024 Intake - VN,Analyst - IT Advisory - December 2024 Intake - VN,N/A,Deloitte Consulting SEA,Không yêu cầu năm kinh nghiệm,"12Ath Floor, Vinaconex Building, 34 Lang Ha Street, Lang Ha Ward, Dong Da District,Hanoi, Vietnam",Thương lượng,"SQL, Oracle, System Analysis, ETL, System Design",https://www.vietnamworks.com/analyst-it-advisory-december-2024-intake-vn-1850602-jv?source=searchResults&searchType=2&placement=1850902&sortBy=latest
Product Owner (Domain Collection),Product Owner Domain Collection,N/A,Công Ty Cổ Phần Kinh Doanh F88,5 năm kinh nghiệm,"Tòa nhà N01A, 275 Nguyễn Trãi, Thanh Xuân, Hà Nội","$ 900-1,500 /tháng","Công Nghệ Thông Tin, Quản Lý Sản Phẩm, Agile, Scrum, Phát Triển Sản Phẩm",https://www.vietnamworks.com/product-owner-domain-collection-1851128-jv?source=searchResults&searchType=2&placement=1851328&sortBy=latest
Senior Fullstack Developer (Reactjs Base),Senior Fullstack Developer Reactjs Base,Senior,Capgemini Vietnam,5 năm kinh nghiệm,"Centre Point, 106 Nguyễn Văn Trỗi, Phường 08, Quận Phú Nhuận, Thành phố Hồ Chí Minh",Thương lượng,"JavaScript ES6, AWS, Software Development, TypeScript, ReactJs",https://www.vietnamworks.com/senior-fullstack-developer-reactjs-base--1855658-jv?source=searchResults&searchType=2&placement=1855658&sortBy=latest
Trợ Lý Phó Tổng Giám Đốc (Mảng CNTT),Trợ Lý Phó Tổng Giám Đốc Mảng CNTT,N/A,Tập Đoàn Tân Á Đại Thành,Không yêu cầu năm kinh nghiệm,Số 124 Tôn Đức Thắng - Đống Đa - Hà Nội,Thương lượng,"Trợ Lý, Công Nghệ Thông Tin, Agile, MS Power BI, Business Analysis",https://www.vietnamworks.com/tro-ly-pho-tong-giam-doc-mang-cntt--1854621-jv?source=searchResults&searchType=2&placement=1854671&sortBy=latest
Product Owner - Generative AI for Enterprise Customer Operations,Product Owner - Generative AI for Enterprise Customer Operations,N/A,Trusting Social,5 năm kinh nghiệm,"Havana Tower, 132, Ham Nghi Str., Ben Thanh Ward, Dist. 1, HCMC","$ 2,000-3,000 /tháng","product owner, Product Development, business analyst, Product Management",https://www.vietnamworks.com/product-owner-generative-ai-for-enterprise-customer-operations-1837989-jv?source=searchResults&searchType=2&placement=1838389&sortBy=latest
[ HO ] ATM Network And Operations Management,HO ATM Network And Operations Management,N/A,Shinhan Bank Vietnam,1 năm kinh nghiệm,"Empress Tower, 138-142 Hai Ba Trung Street, Da Kao Ward, District 1, HCMC",Thương lượng,"Banking, Economics, Finance, Teamwork, Atm Operation Management",https://www.vietnamworks.com/ho-atm-network-and-operations-management-1852611-jv?source=searchResults&searchType=2&placement=1852761&sortBy=latest
IT Audit Manager IT General Control (Itgc),IT Audit Manager IT General Control Itgc,N/A,"BDO Consulting Vietnam Co., Ltd.",4 năm kinh nghiệm,"11/F, No. 60Nguyen Dinh Chieu Street District 1, Ho Chi Minh City, Vietnam",Thương lượng,"General Control, Cybersecurity, Risk Management, Business Continuity, Team Work",https://www.vietnamworks.com/it-audit-manager-it-general-control-itgc-1851801-jv?source=searchResults&searchType=2&placement=1852001&sortBy=latest
IT Associate Manager,IT Associate Manager,N/A,Carlsberg Vietnam,5 năm kinh nghiệm,"15th floor, Sonatus Building, 15 Le Thanh Ton, Ben Nghe, District 1, HCMC","$ 1,800-2,500 /tháng","English Fluency, Financial Accounting, Programming Technology, Project Management, SQL Server, SQL Server",https://www.vietnamworks.com/it-associate-manager-1847595-jv?source=searchResults&searchType=2&placement=1848095&sortBy=latest
Programmer-Analyst .Net / Full Stack .Net Developer,Programmer-Analyst .Net / Full Stack .Net Developer,N/A,LR-TEK,5 năm kinh nghiệm,21 rue de Lyon,"$ 1,000-2,000 /tháng","Agile Methodologies, Bilingual In French And English, Microsoft Azure, SQL Server, SQL Server, Website Development",https://www.vietnamworks.com/programmer-analyst-net-full-stack-net-developer-1854114-jv?source=searchResults&searchType=2&placement=1854164&sortBy=latest
Chuyên Gia Bảo Mật (Security Expert),Chuyên Gia Bảo Mật Security Expert,N/A,FPT Telecom,5 năm kinh nghiệm,"Tòa FPT Tower, Số 10 Phạm Văn Bạch, Yên Hòa, Cầu Giấy, Hà Nội",Thương lượng,"An Toàn Thông Tin, Bảo Mật Thông Tin, Xử Lý Sự Cố, Đánh Giá Bảo Mật",https://www.vietnamworks.com/chuyen-gia-bao-mat-security-expert-1853313-jv?source=searchResults&searchType=2&placement=1853413&sortBy=latest
Fresh Speed Up 2025 | Staff - IT,Fresh Speed Up 2025 | Staff - IT,N/A,B.Braun Vietnam Company Ltd.,Không yêu cầu năm kinh nghiệm,"Thanh Oai Industrial Complex, Thanh Oai, Ha Noi",Thương lượng,"Công nghệ thông tin, Khoa Học Máy Tính, Tiếng Anh thành thạo",https://www.vietnamworks.com/fresh-speed-up-2025-staff-it--1851809-jv?source=searchResults&searchType=2&placement=1852009&sortBy=latest
"Back-end Developer (Java, SQL, Spring, English)","Back-end Developer Java, SQL, Spring, English",N/A,Công Ty TNHH Clever Creations Tech,1 năm kinh nghiệm,"459 Sư Vạn Hạnh, Phường 12, Quận 10, Thành phố Hồ Chí Minh","$ 500-1,500 /tháng","Java, SQL, Chinese Madarin, Spring Framework, Lập Trình Web",https://www.vietnamworks.com/back-end-developer-java-sql-spring-english--1850644-jv?source=searchResults&searchType=2&placement=1850894&sortBy=latest
"Engineer, Advance Quality Planning","Engineer, Advance Quality Planning",N/A,"Molex Vietnam Co., Ltd.",4 năm kinh nghiệm,"P-15, Thang Long Industrial Park",Thương lượng,"Human Affairs, Manufacture Process, Quality Control, Quality Inspection, Standards Creation",https://www.vietnamworks.com/engineer-advance-quality-planning--1848272-jv?source=searchResults&searchType=2&placement=1848722&sortBy=latest
Technical Support Engineer,Technical Support Engineer,N/A,Công Ty TNHH Servers.com VN,1 năm kinh nghiệm,Công Ty TNHH Servers.com VN,"$ 500-1,300 /tháng","Technical Support, System Administration, IT System Administration, Linux, Business English",https://www.vietnamworks.com/technical-support-engineer--1847987-jv?source=searchResults&searchType=2&placement=1848437&sortBy=latest
Senior UX/UI Designer,Senior UX/UI Designer,Senior,Capgemini Vietnam,5 năm kinh nghiệm,"Centre Point, 106 Nguyễn Văn Trỗi, Phường 08, Quận Phú Nhuận, Thành phố Hồ Chí Minh",Thương lượng,"Adobe Creative Suite, English, Thiết Kế UI-UX, Figma, HTML/CSS",https://www.vietnamworks.com/senior-ux-ui-designer--1852221-jv?source=searchResults&searchType=2&placement=1852421&sortBy=latest
"Senior QC Inspector/ QC Supervisor, Footwear (Tien Giang)","Senior QC Inspector/ QC Supervisor, Footwear Tien Giang",Senior,Amer Sports Vietnam Limited,3 năm kinh nghiệm,HCMC,"$ 800-1,800 /tháng","Footwear, Quality Control, Chinese, Inspection, Quality Assurance & Control, Quality Assurance & Control",https://www.vietnamworks.com/senior-qc-inspector-qc-supervisor-footwear-tien-giang-1851405-jv?source=searchResults&searchType=2&placement=1851655&sortBy=latest
Infrastructure Engineer,Infrastructure Engineer,N/A,Tổng Công Ty Bưu Điện Việt Nam - Vnpost,Không yêu cầu năm kinh nghiệm,"Số 5, Phạm Hùng, Nam Từ Liêm, Hà Nội",12tr-27tr ₫/tháng,"Python, Shell Script, Private Cloud, OSI, Cloud Computing",https://www.vietnamworks.com/infrastructure-engineer--1849485-jv?source=searchResults&searchType=2&placement=1849835&sortBy=latest
Chuyên Viên Kiểm Thử Phần Mềm (Có Thể Nhận Việc Sau Tết),Chuyên Viên Kiểm Thử Phần Mềm Có Thể Nhận Việc Sau Tết,N/A,Công Ty Chứng Khoán Yuanta Việt Nam,3 năm kinh nghiệm,"Tầng 4, Tòa Nhà Saigon Centre, 65 Lê Lợi, Quận 1, TP. HCM",12tr-30tr ₫/tháng,"Viết Test Case, Kiểm Thử Phần Mềm, Chứng khoán, Test, API Testing",https://www.vietnamworks.com/chuyen-vien-kiem-thu-phan-mem-co-the-nhan-viec-sau-tet-1852001-jv?source=searchResults&searchType=2&placement=1852201&sortBy=latest
IT Business Analyst,IT Business Analyst,N/A,A.p. Moller-Maersk,1 năm kinh nghiệm,Ho Chi Minh,Thương lượng,"WMS, MSSQL, Power BI, Communication skills",https://www.vietnamworks.com/it-business-analyst--1853898-jv?source=searchResults&searchType=2&placement=1853998&sortBy=latest
IT Associate Manager,IT Associate Manager,N/A,Perfetti Van Melle (Viet Nam) Limited,5 năm kinh nghiệm,"Lot N, Street No.26, Song Than Industrial Zone No.2, Di An District, Binh Duong Province",Thương lượng,"Analytical Skills, Communication Skills, Implementing Business Software, Project Management, SAP ERP",https://www.vietnamworks.com/it-associate-manager-1853303-jv?source=searchResults&searchType=2&placement=1853403&sortBy=latest
Senior Business Intelligence,Senior Business Intelligence,Senior,Navigos Search's Client,4 năm kinh nghiệm,Hanoi,"$ 2,000-2,500 /tháng","Business Intelligence, Data Analysis, Machine Learning, Team Management",https://www.vietnamworks.com/senior-business-intelligence-1851978-jv?source=searchResults&searchType=2&placement=1852178&sortBy=latest
"Nhân Viên Bảo Hành (Lĩnh Vực CCTV, Camera, It,...)","Nhân Viên Bảo Hành Lĩnh Vực CCTV, Camera, It,...",N/A,Công Ty Cổ Phần Nhà An Toàn,1 năm kinh nghiệm,"Trụ sở: Tầng 5, Tòa 97-99 Láng Hạ, Đống Đa, Hà Nội;            Chi nhánh HCM: 299/3 Lý Thường Kiệt – Phường 15 – Quận 11 – TP.Hồ Chí Minh",12tr-18tr ₫/tháng,"CCNA, CCNP, MCSA",https://www.vietnamworks.com/nhan-vien-bao-hanh-linh-vuc-cctv-camera-it-1845272-jv?source=searchResults&searchType=2&placement=1845272&sortBy=latest
Chuyên Viên Phân Tích Nghiệp Vụ (Senior Business Analyst) - Upto 35M,Chuyên Viên Phân Tích Nghiệp Vụ Senior Business Analyst - Upto 35M,Senior,Công Ty Cổ Phần 1Office,3 năm kinh nghiệm,"Tầng 3, Tháp G2, Tòa nhà Five Star, Số 2 Kim Giang, Phường Kim Giang, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",Tới 35tr ₫/tháng,"Phân tích nghiệp vụ, ERP, business analyst, Team Leader, Team Leader, Team Leader, Team Leader, Team Leader",https://www.vietnamworks.com/chuyen-vien-phan-tich-nghiep-vu-senior-business-analyst-upto-35m-1851631-jv?source=searchResults&searchType=2&placement=1851831&sortBy=latest
Chuyên Viên Kiểm Thử Phần Mềm,Chuyên Viên Kiểm Thử Phần Mềm,N/A,Trung Tâm Dịch Vụ Dữ Liệu Và Trí Tuệ Nhân Tạo Viettel (Viettel AI),5 năm kinh nghiệm,"Lô D26, Khu Đô thị mới Cầu Giấy, Yên Hòa, Cầu Giấy, Hà Nội","$ 830-1,700 /tháng","Kiểm Thử, An Toàn Thông Tin, Nghiệm Thu, Công nghệ thông tin, Hệ Thống Thông Tin",https://www.vietnamworks.com/chuyen-vien-kiem-thu-phan-mem--1847462-jv?source=searchResults&searchType=2&placement=1847962&sortBy=latest
Business Analyst (BA),Business Analyst BA,N/A,Công Ty Cổ Phần Chứng Khoán KIS Việt Nam,2 năm kinh nghiệm,"Lầu 3, 180-192 Nguyễn Công Trứ, P. Nguyễn Thái Bình, Quận 1, TP.HCM",Thương lượng,"Business Analysis, Fashion Trend, Figma, Microsoft Visio, MS Office",https://www.vietnamworks.com/business-analyst-ba-1842721-jv?source=searchResults&searchType=2&placement=1842771&sortBy=latest
IT Staff Software Developer (On Board After Tet),IT Staff Software Developer On Board After Tet,N/A,"Proterial Vietnam Co., Ltd.",Không yêu cầu năm kinh nghiệm,"Plot CN 6.1-2, Tan Truong Industrial Zone, Cam Giang District, Hai Duong Province , Vietnam.",Thương lượng,"Công Nghệ Thông Tin, C#, Android, SQL, ASP.NET",https://www.vietnamworks.com/it-staff-software-developer-on-board-after-tet-1840390-jv?source=searchResults&searchType=2&placement=1840690&sortBy=latest
"Japanese Business Operations Staff (in HCM, Hanoi, Da Nang)","Japanese Business Operations Staff in HCM, Hanoi, Da Nang",N/A,Hitachi Digital Services,2 năm kinh nghiệm,"Floor 3rd, 4th Helios Building - Floor 9th QTSC9 Building, Quang Trung Software City, Tan Chanh Hiep Ward, District 12",Thương lượng,"Japanese, Document, System Operations, English",https://www.vietnamworks.com/japanese-business-operations-staff-in-hcm-hanoi-da-nang-1841910-jv?source=searchResults&searchType=2&placement=1842060&sortBy=latest
"Chuyên Viên Quản Trị Hệ Thống, Quản Trị Mạng","Chuyên Viên Quản Trị Hệ Thống, Quản Trị Mạng",N/A,Công Ty Cổ Phần Chứng Khoán Việt Thành,3 năm kinh nghiệm,"Tầng 02, Tòa nhà Mê Linh Point, Số 02 Ngô Đức Kế, P. Bến Nghé, Quận 1, TP. Hồ Chí Minh",Thương lượng,"Database Oracle, Network Management, Server System Management, System Administration, VMware",https://www.vietnamworks.com/chuyen-vien-quan-tri-he-thong-quan-tri-mang-1854517-jv?source=searchResults&searchType=2&placement=1854567&sortBy=latest
CRM System and Infrastructure Manager,CRM System and Infrastructure Manager,N/A,Abbott,5 năm kinh nghiệm,"02 Ngo Duc Ke, Dist. 1, HCM",Thương lượng,"Systems Integration, CRM Development, Infrastructure, IT Infrastructure Management, SQL",https://www.vietnamworks.com/crm-system-and-infrastructure-manager--1853975-jv?source=searchResults&searchType=2&placement=1854075&sortBy=latest
Trưởng Phòng Kỹ Thuật,Trưởng Phòng Kỹ Thuật,N/A,OPTIMA ROBOTICS COMPANY,Không yêu cầu năm kinh nghiệm,,Thương lượng,"Arduino, Arduino, Arduino, C#, Python, Robot Control Programming, STM32, STM32",https://www.vietnamworks.com/truong-phong-ky-thuat-1853822-jv?source=searchResults&searchType=2&placement=1853922&sortBy=latest
IT Technical Support,IT Technical Support,N/A,Carl Zeiss Vietnam Company Limited,4 năm kinh nghiệm,"Hà Nội (Branch office): Unit 01 & 02, 9th Floor, Lancaster Luminaire, 1152-1154 Lang Street, Lang Thuong Ward, Dong Da District, Ha Noi, Vietnam  HCM (Head office): Unit 501, 5th F, 58 Nguyen Dinh Chieu, Dakao Ward, District 1, Ho Chi Minh City, Vietnamme",Thương lượng,"Customer Support, Technical Assistance, Asset Management, ITSM, System Monitoring",https://www.vietnamworks.com/it-technical-support-1854558-jv?source=searchResults&searchType=2&placement=1854608&sortBy=latest
NV Phụ Trách An Ninh Mạng và An Toàn Dữ Liệu,NV Phụ Trách An Ninh Mạng và An Toàn Dữ Liệu,N/A,Công Ty Cổ Phần Đầu Tư Phát Triển Giáo Dục Quốc Tế Hoàng Gia,2 năm kinh nghiệm,"Số 8 Đặng Đại Độ, Phú Mỹ Hưng, P. Tân Phong, Quận 7",$ 600-800 /tháng,"Cisco Firewall Security, CentOS, An Ninh Mạng, Hệ Thống Bảo Mật, Bảo Mật Hệ Thống",https://www.vietnamworks.com/nv-phu-trach-an-ninh-mang-va-an-toan-du-lieu-1853555-jv?source=searchResults&searchType=2&placement=1853655&sortBy=latest
Assistant Manager cum Team Lead - IT Department (IT Security & Risk Management Team),Assistant Manager cum Team Lead - IT Department IT Security & Risk Management Team,N/A,"Mizuho Bank, Ltd.",8 năm kinh nghiệm,"4th Floor, 63 LTT Building, 63 Ly Thai To Street, Hanoi",Thương lượng,"Communication, Cybersecurity, IT Risk Management, IT Security, Leadership",https://www.vietnamworks.com/assistant-manager-cum-team-lead-it-department-it-security-risk-management-team-1841734-jv?source=searchResults&searchType=2&placement=1841934&sortBy=latest
Mid-Level Software Developer (Python),Mid-Level Software Developer Python,Mid-Level,Celltron,2 năm kinh nghiệm,.,"Từ $ 1,000 /tháng","Python, Ai/Ml Tools, API Development, Matplotlib",https://www.vietnamworks.com/mid-level-software-developer-python--1850768-jv?source=searchResults&searchType=2&placement=1851018&sortBy=latest
Chuyên Viên Vận Hành Open Banking & Dịch Vụ Kết Nối - Khối CNTT,Chuyên Viên Vận Hành Open Banking & Dịch Vụ Kết Nối - Khối CNTT,N/A,Ngân hàng Lộc Phát Việt Nam LPBank,2 năm kinh nghiệm,"LPB Tower, số 210 Đường Trần Quang Khải, French Quarter, Trang Tien, Hoàn Kiếm, Hanoi, Vietnam",Thương lượng,"Hệ Thống Oracle, Lập Trình SQL Server, Linux, Quản Trị Hệ Thống, Vận Hành Hệ Thống",https://www.vietnamworks.com/chuyen-vien-van-hanh-open-banking-and-dich-vu-ket-noi-khoi-cntt-1839419-jv?source=searchResults&searchType=2&placement=1839719&sortBy=latest
Project Manager (IT Projects),Project Manager IT Projects,N/A,SV Technologies JSC,2 năm kinh nghiệm,"8th Floor, IC Building, 82 Duy Tan Str., Cau Giay Dist., Hanoi","$ 1,000-2,000 /tháng","Quản Lý Dự Án Công Nghệ, Quản Trị Dự Án, Project Management, PMP, Business analysis",https://www.vietnamworks.com/project-manager-it-projects-1849582-jv?source=searchResults&searchType=2&placement=1849932&sortBy=latest
Fullstack Developer (Nodejs/reactjs/python),Fullstack Developer Nodejs/reactjs/python,N/A,"AZPLAYS Co., LTD",Không yêu cầu năm kinh nghiệm,"Toà nhà Won Majestic - Phum 4, Phường Sangkat 4, Quận 2 Thnou St, Thành phố Krong Preah Sihanouk, Cambodia","$ 1,700-2,100 /tháng","JavaScript, Python, NodeJS, ReactJS, Communication",https://www.vietnamworks.com/fullstack-developer-nodejsreactjspython-1849297-jv?source=searchResults&searchType=2&placement=1849647&sortBy=latest
[Hồ Chí Minh] System Administrator (big Digital Transformation project) - open to onboard after Tet,Hồ Chí Minh System Administrator big Digital Transformation project - open to onboard after Tet,N/A,Navigos Search's Client,3 năm kinh nghiệm,Hanoi,"$ 1,000-1,400 /tháng","MCSA, MCSE, Quản Trị Hệ Thống, Quản Trị Hệ Thống Mạng, VMware",https://www.vietnamworks.com/ho-chi-minh-system-administrator-big-digital-transformation-project-open-to-onboard-after-tet-1849354-jv?source=searchResults&searchType=2&placement=1849704&sortBy=latest
Web Developer (Tiếng Nhật N1~N4),Web Developer Tiếng Nhật N1~N4,N/A,Công Ty TNHH Gmo-Z.com Financial System VN,Không yêu cầu năm kinh nghiệm,"5th Floor, Ocean Park Building, 1 Đào Duy Anh, Phương Mai, Đống Đa, Hà Nội","$ 1,000-3,000 /tháng","React, Website Development, Node.js, Tiếng Nhật N4, Unit Testing",https://www.vietnamworks.com/web-developer-tieng-nhat-n1-n4--1853775-jv?source=searchResults&searchType=2&placement=1853875&sortBy=latest
Kỹ Sư Network,Kỹ Sư Network,N/A,Công Ty Cổ Phần Netnam,1 năm kinh nghiệm,"Tầng 2 - HITC Building, 239 Đường Xuân Thủy, Dịch Vọng Hậu, Cầu Giấy, Hà Nội, Việt Nam",12tr-20tr ₫/tháng,"Quản Trị Mạng, Network, Quản Trị Hạ Tầng Cisco, Chăm Sóc Khách Hàng, An Toàn Thông Tin",https://www.vietnamworks.com/ky-su-network--1851514-jv?source=searchResults&searchType=2&placement=1851714&sortBy=latest
On Job Training (Embedded Engineer),On Job Training Embedded Engineer,N/A,"Toshiba Software Development (Vietnam) CO., LTD",Không yêu cầu năm kinh nghiệm,"16 Floor - VIT Tower, 519 Kim Ma, Ba Dinh, Hanoi",3.3tr-7.5tr ₫/tháng,"Embedded Systems, Linux, MATLAB, Teamwork, Tự Động Hóa",https://www.vietnamworks.com/on-job-training-embedded-engineer-1851087-jv?source=searchResults&searchType=2&placement=1851337&sortBy=latest
Data and Business Intelligence Analyst,Data and Business Intelligence Analyst,N/A,Schneider Electric Vietnam Limited,3 năm kinh nghiệm,"364 Cong Hoa St, Floor 7, E-town Building, Ward 13, Tan Binh Dist, HCMC",Thương lượng,"Data analysis, Business analysis",https://www.vietnamworks.com/data-and-business-intelligence-analyst-1849969-jv?source=searchResults&searchType=2&placement=1850269&sortBy=latest
Senior Software Tester – Securities IT,Senior Software Tester – Securities IT,Senior,Public Bank Securities Vietnam Company Limited (PBSV),3 năm kinh nghiệm,,Thương lượng,"Communication skills, Computer Science, Finance, Software Testing, Test Planning",https://www.vietnamworks.com/senior-software-tester-securities-it-1838754-jv?source=searchResults&searchType=2&placement=1839154&sortBy=latest
Russian speaking Network Provisioning,Russian speaking Network Provisioning,N/A,Công ty TNHH Servers.com VN,Không yêu cầu năm kinh nghiệm,,Thương lượng,"Network Technology, Pc Background, Russian Language, English Speaking, Customer Focus",https://www.vietnamworks.com/russian-speaking-network-provisioning-1852010-jv?source=searchResults&searchType=2&placement=1852210&sortBy=latest
Business Analyst Fresher (Dành Cho Sinh Viên Mới Tốt Nghiệp),Business Analyst Fresher Dành Cho Sinh Viên Mới Tốt Nghiệp,Fresher,NashTech,Không yêu cầu năm kinh nghiệm,"Etown, 364 Cong Hoa, Ward 13, Tan Binh District, HCM",Thương lượng,"Business Analysis, Data Analysis, Business Intelligence, Communication, English Language Proficiency",https://www.vietnamworks.com/business-analyst-fresher-danh-cho-sinh-vien-moi-tot-nghiep-1849164-jv?source=searchResults&searchType=2&placement=1849514&sortBy=latest
Head of Digital Product,Head of Digital Product,N/A,Công Ty Cổ Phần Thương Mại Và Dịch Vụ Fgf,5 năm kinh nghiệm,"Tòa văn phòng Symphony, Vinhomes Riverside, Q. Long Biên, Hà Nội","$ 4,000-6,000 /tháng","Product Management, Customer Experiences, Agile, Product Analyst, Digital Strategy",https://www.vietnamworks.com/head-of-digital-product-1853743-jv?source=searchResults&searchType=2&placement=1853843&sortBy=latest
Software Engineering Manager (Java/springboot),Software Engineering Manager Java/springboot,N/A,Navigos Search's Client,7 năm kinh nghiệm,Hanoi,"$ 3,500-4,000 /tháng","API RESTful, English Language Proficiency, Java, Software Development, Team Management",https://www.vietnamworks.com/software-engineering-manager-javaspringboot-1848495-jv?source=searchResults&searchType=2&placement=1848945&sortBy=latest
Senior Backend Developer,Senior Backend Developer,Senior,Công Ty Cổ Phần Chứng Khoán KIS Việt Nam,Không yêu cầu năm kinh nghiệm,"Lầu 3, 180-192 Nguyễn Công Trứ, P. Nguyễn Thái Bình, Quận 1, TP.HCM",Thương lượng,"Data Structure, Back End Developer, OOP (Object Oriented Programming), Java, NodeJS",https://www.vietnamworks.com/senior-backend-developer-1842791-jv?source=searchResults&searchType=2&placement=1842891&sortBy=latest
Engineering Manager,Engineering Manager,N/A,Công Ty TNHH Công Nghệ Và Giải Pháp Phần Mềm Crossian,Không yêu cầu năm kinh nghiệm,"Tầng 1, Pax Sky, 63-65 Ngô Thì Nhậm, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, TP Hà Nội, Việt Nam",Thương lượng,"Cloud Technologies, Project Management, Software Development, Agile, Product Development",https://www.vietnamworks.com/engineering-manager--1853229-jv?source=searchResults&searchType=2&placement=1853379&sortBy=latest
Process Quality Assurance - Lương Thưởng Hấp Dẫn,Process Quality Assurance - Lương Thưởng Hấp Dẫn,N/A,Công Ty Cổ Phần Tư Vấn Công Nghệ Ngs (Ngsc),3 năm kinh nghiệm,"Tầng 4, Toà nhà 6th Element, đường Nguyễn Văn Huyên, quận Tây Hồ, Hà Nội","Tới $ 1,500 /tháng","Công Nghệ Thông Tin, Đánh Giá Chất Lượng, QA, Agile Scrum, Tiếng Anh",https://www.vietnamworks.com/process-quality-assurance-luong-thuong-hap-dan--1847179-jv?source=searchResults&searchType=2&placement=1847679&sortBy=latest
Technical Analyst,Technical Analyst,N/A,Công Ty Cổ Phần Gemadept,1 năm kinh nghiệm,"CJ Building, Số 6 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, TP. HCM",Thương lượng,"IT Management, Công nghệ thông tin, Triển Khai Ứng Dụng, Phân tích kỹ thuật",https://www.vietnamworks.com/technical-analyst--1848268-jv?source=searchResults&searchType=2&placement=1848718&sortBy=latest
Phó Trưởng Khoa Công Nghệ Thông Tin / Vice Dean of IT Program,Phó Trưởng Khoa Công Nghệ Thông Tin / Vice Dean of IT Program,N/A,Keiser University (Vietnam Center - Kuv),3 năm kinh nghiệm,"21 Lê Quý Đôn, P. 6, Q.3, TPHCM","Từ $ 1,500 /tháng","Tiếng Anh Thành Thạo, Công nghệ thông tin, Quản Lý Giáo Dục",https://www.vietnamworks.com/pho-truong-khoa-cong-nghe-thong-tin-vice-dean-of-it-program-1854679-jv?source=searchResults&searchType=2&placement=1854729&sortBy=latest
Service Desk Agent Asia,Service Desk Agent Asia,N/A,,2 năm kinh nghiệm,,Thương lượng,"Citrix System, IT Helpdesk, Chinese fluency, English Language Proficiency, German",https://www.vietnamworks.com/service-desk-agent-asia--1853204-jv?source=searchResults&searchType=2&placement=1853354&sortBy=latest
Test Consultant (Automation),Test Consultant Automation,N/A,Endava Việt Nam,10 năm kinh nghiệm,"No. 9 – 11 Dong Da street, ward 2, Tan Binh district, Ho Chi Minh city",Thương lượng,"Java, SDLC, REST API, Automation Testing, API Testing",https://www.vietnamworks.com/test-consultant-automation-1853760-jv?source=searchResults&searchType=2&placement=1853860&sortBy=latest
Project Manager,Project Manager,N/A,Techcombank,8 năm kinh nghiệm,"Head Office: 6 Quang Trung Street, Hoan Kiem District, Hanoi","$ 1,000-2,500 /tháng","Program Management, Waterfall, Product Development, Banking, Agile",https://www.vietnamworks.com/project-manager--1848116-jv?source=searchResults&searchType=2&placement=1848566&sortBy=latest
