Job Title,Role,Level,year_of_experiences,Company,Location,Salary Range,Required Skills,Source Platform,Year Of Experiences
Senior IT Application Specialist,Senior IT Application Specialist,Senior,,"Danieli – Industrielle Beteiligung Co., Ltd","LotA4b, Industrial Park inside Tan Thuan Export Processing Zone (E-Office park), Tan Thuan Dong Ward, District 7, HCM city",Thương lượng,"ERP, Microsoft Power Platform, SharePoint, Project Management, Quản Lý Dự Án",https://www.vietnamworks.com/senior-it-application-specialist-1849181-jv?source=searchResults&searchType=2&placement=1849531&sortBy=latest,3 năm kinh nghiệm
Senior 3D Unity Developer,Senior 3D Unity Developer,Senior,,Navigos Search's Client,Hanoi / HCMC,"$ 1,200-1,600 /tháng","Unity 3D, C#, Game Design, Team Management, Communication",https://www.vietnamworks.com/senior-3d-unity-developer-1848195-jv?source=searchResults&searchType=2&placement=1848645&sortBy=latest,3 năm kinh nghiệm
Kỹ Sư Viễn Thông & CNTT,Kỹ Sư Viễn Thông & CNTT,,,Công Ty Cổ Phần Công Nghệ Tiên Phát - Tpcoms,"107 Nguyễn Đình Chiểu, Phường Đa Kao, Q1 - TPHCM",15tr-18tr ₫/tháng,"Network, OSI Model, Network Configuration, System Installation, English Communication",https://www.vietnamworks.com/ky-su-vien-thong-and-cntt-1847906-jv?source=searchResults&searchType=2&placement=1848406&sortBy=latest,3 năm kinh nghiệm
"Chuyên Gia Quản Lý Rủi Ro An Ninh Thông Tin Cấp 2, Phòng Quản Trị Rủi Ro Hoạt Động, Khối Quản Trị Rủi Ro","Chuyên Gia Quản Lý Rủi Ro An Ninh Thông Tin Cấp 2, Phòng Quản Trị Rủi Ro Hoạt Động, Khối Quản Trị Rủi Ro",,,Ngân Hàng TMCP Đại Chúng Việt Nam,Số 22 Ngô Quyền - Hà Nội - Việt Nam,"$ 1,000-2,000 /tháng","IT Security, Quản Trị Rủi Ro Thông Tin, An Ninh Dữ Liệu, Bảo Mật Dữ Liệu, An Ninh Thông Tin",https://www.vietnamworks.com/chuyen-gia-quan-ly-rui-ro-an-ninh-thong-tin-cap-2-phong-quan-tri-rui-ro-hoat-dong-khoi-quan-tri-rui-ro--1850065-jv?source=searchResults&searchType=2&placement=1850365&sortBy=latest,4 năm kinh nghiệm
Mobile Developer (Tiếng Nhật N1~N4),Mobile Developer Tiếng Nhật N1~N4,,,Công Ty TNHH GMO-Z.com Financial System VN,"5th Floor, Ocean Park Building, 1 Đào Duy Anh, Phương Mai, Đống Đa, Hà Nội","$ 1,000-3,000 /tháng","Tiếng Nhật N4, Unit Testing, Android, Mobile App Development, Kotlin",https://www.vietnamworks.com/mobile-developer-tieng-nhat-n1-n4--1853774-jv?source=searchResults&searchType=2&placement=1853874&sortBy=latest,Không yêu cầu năm kinh nghiệm
Fresher Thiết Kế Kịch Bản Game ($400-1000),Fresher Thiết Kế Kịch Bản Game $400-1000,Fresher,,Công Ty Cổ Phần Trò Chơi Giáo Dục Việt,"Đống Đa, Hà Nội","$ 400-1,000 /tháng","Game Design, Viết Kịch Bản, Thiết Kế Game, Game Mobile, Game 2D",https://www.vietnamworks.com/fresher-thiet-ke-kich-ban-game-400-1000--1852798-jv?source=searchResults&searchType=2&placement=1852948&sortBy=latest,Không yêu cầu năm kinh nghiệm
Data Analyst Intern,Data Analyst Intern,,,Công Ty Cổ Phần Giải Pháp Thanh Toán Số (MFast),Lầu 2 Tòa nhà Athena 146-148 Cộng Hòa Phường 12 Tân Bình HCM,Từ 200 ₫/tháng,"Data Analysis, Reconciliation Report, Data Checking, Report Builder, Collaboration",https://www.vietnamworks.com/data-analyst-intern-1850642-jv?source=searchResults&searchType=2&placement=1850942&sortBy=latest,Không yêu cầu năm kinh nghiệm
Operational Technology Lead Engineer,Operational Technology Lead Engineer,,,B. Braun,"Thanh Oai Industrial Complex, Thanh Oai Dist, Hanoi, Vietnam",Thương lượng,"Automation, Data Analysis, Electronic Communication, IT Operations, Script Language",https://www.vietnamworks.com/operational-technology-lead-engineer-1855041-jv?source=searchResults&searchType=2&placement=1855041&sortBy=latest,3 năm kinh nghiệm
Nhân Viên IT - Việt Úc Bến Tre,Nhân Viên IT - Việt Úc Bến Tre,,,Công Ty TNHH MTV Việt Úc Bến Tre,"Xã Bảo Thuận, Huyện Ba Tri, Tỉnh Bến Tre",$ 350-400 /tháng,Tiếng Anh,https://www.vietnamworks.com/nhan-vien-it-viet-uc-ben-tre-1854953-jv?source=searchResults&searchType=2&placement=1854953&sortBy=latest,1 năm kinh nghiệm
IT Support Engineer - Microsoft Premier Support,IT Support Engineer - Microsoft Premier Support,,,ITECHWX COMPANY LIMITED,"12th Floor, Opal Tower 92 Nguyen Huu Canh Street, Ward 22, Binh Thanh District, Ho Chi Minh city, Vietnam",20tr-24tr ₫/tháng,"English Language Proficiency, IT Support, Microsoft products knowledge, Customer Support, Technical Support",https://www.vietnamworks.com/it-support-engineer-microsoft-premier-support-1849987-jv?source=searchResults&searchType=2&placement=1850287&sortBy=latest,1 năm kinh nghiệm
Chuyên Viên Kỹ Thuật ( Nhà Máy Karofi Hưng Yên ),Chuyên Viên Kỹ Thuật Nhà Máy Karofi Hưng Yên,,,CÔNG TY CỔ PHẦN CÔNG NGHỆ TECOMEN,"Từ Hồ, Yên Mỹ, Hưng Yên, Việt Nam",14tr-17tr ₫/tháng,"Kĩ Thuật Tự Động Hóa, Làm Việc Nhóm, Phần Mềm Thiết Kế 3D, Quản Lý Chất Lượng, Đọc Bản Vẽ Kỹ Thuật",https://www.vietnamworks.com/chuyen-vien-ky-thuat-nha-may-karofi-hung-yen-1849668-jv?source=searchResults&searchType=2&placement=1850018&sortBy=latest,1 năm kinh nghiệm
Nhân Viên IT Phần Mềm,Nhân Viên IT Phần Mềm,,,Công Ty TNHH Khuôn Đúc Tsukuba Việt Nam,"Địa điểm làm việc: E3, Khu CN Phố Nối A - Văn Lâm - Hưng Yên",Thương lượng,"C#, .NET, ERP, Sap, Web API",https://www.vietnamworks.com/nhan-vien-it-phan-mem--1849597-jv?source=searchResults&searchType=2&placement=1849947&sortBy=latest,Không yêu cầu năm kinh nghiệm
[Hot Job] Cloud Engineer (R&D Team - Upto 2000$/month),Hot Job Cloud Engineer R&D Team - Upto 2000$/month,,,Công Ty Cổ Phần Sunteco,"Tầng 6 - Lotus Building, số 2, Duy Tân - Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội","Tới $ 2,000 /tháng","OpenStack, Kubernetes, Java, Golang, Cloud",https://www.vietnamworks.com/hot-job-cloud-engineer-r-d-team-upto-2000-month-1835049-jv?source=searchResults&searchType=2&placement=1835449&sortBy=latest,Không yêu cầu năm kinh nghiệm
Nhân Viên Hỗ Trợ Kỹ Thuật (Presales),Nhân Viên Hỗ Trợ Kỹ Thuật Presales,,,Công Ty Cổ Phần Synnex FPT,"Số 10 Phạm Văn Bạch, Cầu Giấy, Hà Nội",Thương lượng,"Cấu Hình Lưu Trữ, Giám Sát Hệ Thống Máy Chủ, LINUX, Tư Vấn Sản Phẩm, Xây Dựng Giải Pháp",https://www.vietnamworks.com/nhan-vien-ho-tro-ky-thuat-presales-1848265-jv?source=searchResults&searchType=2&placement=1848715&sortBy=latest,1 năm kinh nghiệm
Chuyên Viên QA/QC Xây Dựng,Chuyên Viên QA/QC Xây Dựng,,,Công Ty Cổ Phần Kiến Trúc Tư Vấn Quản Lý Đông Dương,"928 Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, TP. HCM",Thương lượng,"Gia Công Áp Lực, Kiểm Soát Hồ Sơ, Làm Việc Nhóm, Quản Lý Chất Lượng, Tin Học Văn Phòng",https://www.vietnamworks.com/chuyen-vien-qaqc-xay-dung-1852175-jv?source=searchResults&searchType=2&placement=1852375&sortBy=latest,5 năm kinh nghiệm
Manual Test Specialist,Manual Test Specialist,,,Netcompany,"Opal Tower Building, 92 Nguyen Huu Canh, Ward 22, Binh Thanh District, Ho Chi Minh city",Thương lượng,"Selenium, Manual Testing, Software Testing, QC, Test Case Design",https://www.vietnamworks.com/manual-test-specialist--1851558-jv?source=searchResults&searchType=2&placement=1851758&sortBy=latest,1 năm kinh nghiệm
Business Development Manager,Business Development Manager,,,Công Ty Cổ Phần ITR VN,"'Phòng 904, Tầng 9, Tòa nhà Saigon Paragon, Số 3 Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh",Thương lượng,"Business Development, Channel Relationship Management, Communication, Healthcare Industry, Technology",https://www.vietnamworks.com/business-development-manager-1847169-jv?source=searchResults&searchType=2&placement=1847669&sortBy=latest,5 năm kinh nghiệm
Service Delivery Manager,Service Delivery Manager,,,Pernod Ricard Vietnam,"Head Office: 26th Floor, Vietcombank Tower, No.5 Cong Truong Me Linh, Ben Nghe Ward, District 1, Ho Chi Minh City",Thương lượng,"Digital Strategy Planning, Technical Support, Technical Authority, Project Management, IT Operations",https://www.vietnamworks.com/service-delivery-manager-1854604-jv?source=searchResults&searchType=2&placement=1854654&sortBy=latest,5 năm kinh nghiệm
Test Engineer,Test Engineer,,,Công Ty TNHH Sagemcom Energy & Telecom,"Khu công nghiệp Nam Đình Vũ (Khu 1), thuộc Khu kinh tế Đình Vũ-Cát Hải, Phường Đông Hải 2, Quận Hải An, Thành phố Hải Phòng, Việt Nam",Thương lượng,"Technical Support, Fintech, Product Development, Software Testing, Test",https://www.vietnamworks.com/test-engineer-1851294-jv?source=searchResults&searchType=2&placement=1851544&sortBy=latest,3 năm kinh nghiệm
[Up to 33Mil] - IT Support - Good English,Up to 33Mil - IT Support - Good English,,,Navigos Search,HCMC,"$ 1,000-1,200 /tháng","English, System Administration, IT Support, Helpdesk",https://www.vietnamworks.com/up-to-33mil-it-support-good-english-1851726-jv?source=searchResults&searchType=2&placement=1851926&sortBy=latest,2 năm kinh nghiệm
Chuyên Viên Front End,Chuyên Viên Front End,,,Công Ty Cổ Phần Chứng Khoán KB Việt Nam,"Tầng 16 và 17, Tháp 02 tòa nhà Capital Place, Số 29 Liễu Giai, phường Ngọc Khánh, quận Ba Đình, Hà Nội","$ 500-1,000 /tháng","Front-End, JavaScript, AngularJS, CSS, RestAPI",https://www.vietnamworks.com/chuyen-vien-front-end--1854414-jv?source=searchResults&searchType=2&placement=1854464&sortBy=latest,3 năm kinh nghiệm
Nhân Viên IT,Nhân Viên IT,,,Công Ty Cổ Phần Thép Hòa Phát Hải Dương,Phường Hiệp Sơn- Thị xã Kinh Môn- Tỉnh Hải Dương- Việt Nam,12tr-14tr ₫/tháng,"Vận Hành Máy Chủ, Quản Trị Hệ Thống Mạng, MES, Linux, Vận Hành Hệ Thống Mạng",https://www.vietnamworks.com/nhan-vien-it--1847403-jv?source=searchResults&searchType=2&placement=1847903&sortBy=latest,1 năm kinh nghiệm
Digital Project Executive,Digital Project Executive,,,Shinhan Vietnam Finance Company Limited,17F & 23/F. Saigon Trade Center. 37 Ton Duc Thang. D.1. HCMC. Vietnam,Thương lượng,"Project Management, Business Process Management, Mobile Apps Design, Testing, Business Transformation",https://www.vietnamworks.com/digital-project-executive--1855113-jv?source=searchResults&searchType=2&placement=1855113&sortBy=latest,3 năm kinh nghiệm
Senior IT Specialist,Senior IT Specialist,Senior,,"Gentherm Vietnam CO., LTD.","Dong Van II Industrial Zone, Duy Minh ward, Duy Tien district, Ha Nam province",Thương lượng,"IT Helpdesk, Microsoft Office, IT Infrastructure Design, Troubleshooting, Network",https://www.vietnamworks.com/senior-it-specialist--1850023-jv?source=searchResults&searchType=2&placement=1850323&sortBy=latest,Không yêu cầu năm kinh nghiệm
2D Game Artist,2D Game Artist,,,Athena Studio,"40A Lam Sơn, Phường 2, Quận Tân Bình, TPHCM",20tr-30tr ₫/tháng,"VFX, Game 2D, Photoshop, Spine 2D, UI - UX",https://www.vietnamworks.com/2d-game-artist-1840921-jv?source=searchResults&searchType=2&placement=1841171&sortBy=latest,5 năm kinh nghiệm
IT Helpdesk,IT Helpdesk,,,Công Ty TNHH Atec System Việt Nam,"Tầng 5, Lô CC3-1, KCN Tràng Duệ, xã Hồng Phong, huyện An Dương, TP Hải Phòng",Thương lượng,"IT Operations, Server Management, Network Support, Information Technology, IT Helpdesk",https://www.vietnamworks.com/it-helpdesk--1851258-jv?source=searchResults&searchType=2&placement=1851508&sortBy=latest,1 năm kinh nghiệm
Senior Consultant - Application Management Services - SAP Successfactors - My,Senior Consultant - Application Management Services - SAP Successfactors - My,Senior,,Deloitte Consulting SEA,"18th Floor, Times Square Building, 22-36 Nguyen Hue, District 1, HCMC, Vietnam",Thương lượng,"SAP, Consulting, Information Technology, SAP Consulting, Manufacturing Operations",https://www.vietnamworks.com/senior-consultant-application-management-services-sap-successfactors-my-1848216-jv?source=searchResults&searchType=2&placement=1848666&sortBy=latest,Không yêu cầu năm kinh nghiệm
Digital Project Manager,Digital Project Manager,,,Shinhan Vietnam Finance Company Limited,17F & 23/F. Saigon Trade Center. 37 Ton Duc Thang. D.1. HCMC. Vietnam,Thương lượng,"Project Management, Digital Banking, Mobile App, product owner, Team Management",https://www.vietnamworks.com/digital-project-manager--1840334-jv?source=searchResults&searchType=2&placement=1840584&sortBy=latest,8 năm kinh nghiệm
IT Support,IT Support,,,TMG Hospitality,"46 Nguyen Truong To, Truc Bach, Ba Dinh, Hanoi",$ 17tr-23tr /tháng,"Điện tử viễn thông, Công Nghệ Thông Tin, Quản Trị Hệ Thống, Quản Lý Server, Bảo Trì",https://www.vietnamworks.com/it-support--1850770-jv?source=searchResults&searchType=2&placement=1851020&sortBy=latest,2 năm kinh nghiệm
QA/QC Tester,QA/QC Tester,,,CT TNHH Next Wave Energy Monitoring,"Số 47-49 Hoàng Sa, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Thương lượng,"Postman, Web Service, Usability Testing, JMeter, Testing",https://www.vietnamworks.com/qa-qc-tester--1783928-jv?source=searchResults&searchType=2&placement=1783928&sortBy=latest,1 năm kinh nghiệm
Superintendent SAP And Applications Development,Superintendent SAP And Applications Development,,,Masan High-Tech Materials,"Xóm Suối Cát, xã Hà Thượng, huyện Đại Từ, tỉnh Thái Nguyên",Thương lượng,"Microsoft Office 365, Azure Cloud Platform, Application Development, .Net Core, Web Development, Web Development, Web Development",https://www.vietnamworks.com/superintendent-sap-and-applications-development-1855312-jv?source=searchResults&searchType=2&placement=1855312&sortBy=latest,3 năm kinh nghiệm
Associate Art Producer (Chinese & English speaking),Associate Art Producer Chinese & English speaking,,,Sparx* - A Virtuos Company,"7th Floor, Hai Au Building, 39B Truong Son – Tan Binh, Ho Chi Minh City, Viet Nam",Thương lượng,"Chinese proficiency, Communication Skills, English, Production Management, Project Management",https://www.vietnamworks.com/associate-art-producer-chinese-and-english-speaking-1842731-jv?source=searchResults&searchType=2&placement=1842881&sortBy=latest,2 năm kinh nghiệm
Database Administrator,Database Administrator,,,TL Consulting VN Co. Ltd,,Thương lượng,"Oracle Database Knowledge, DBA, Computer Hardware Troubleshooting, Software Troubleshooting, Computer Science",https://www.vietnamworks.com/database-administrator-1848968-jv?source=searchResults&searchType=2&placement=1849368&sortBy=latest,3 năm kinh nghiệm
Nhân Viên IT – Lập Trình,Nhân Viên IT – Lập Trình,,,Công Ty TNHH Thủ Công Mỹ Nghệ Và Nội Thất Ngọc Sơn,"Chuc Son Town, Chuong My District, Hanoi",Thương lượng,"SQL, .NET, VB.NET, Lập Trình, C#",https://www.vietnamworks.com/nhan-vien-it-lap-trinh--1848835-jv?source=searchResults&searchType=2&placement=1849235&sortBy=latest,2 năm kinh nghiệm
Project Manager,Project Manager,,,"Rochdale Spears Co., Ltd.","207 DT 747A, Tổ 1, Khu phố Tân Lương, Phường Thạnh Phước, Thị xã Tân Uyên, Bình Dương",Thương lượng,"Digital transformation, Leadership, Project Management, Risk Management, Stakeholder Management",https://www.vietnamworks.com/project-manager-1851674-jv?source=searchResults&searchType=2&placement=1851874&sortBy=latest,5 năm kinh nghiệm
APAC Data Analyst,APAC Data Analyst,,,"ENERCON VIETNAM CO., LTD.","72-74 Nguyen Thi Minh Khai, Vo Thi Sau Ward, District 3, Ho Chi Minh city, Vietnam",Thương lượng,"Data Analysis, Data Visualization, Statistical Analysis, Excel Skills, Communication Skills",https://www.vietnamworks.com/apac-data-analyst-1848198-jv?source=searchResults&searchType=2&placement=1848648&sortBy=latest,3 năm kinh nghiệm
ReactJS Developer (Front-End),ReactJS Developer Front-End,,,IIG Việt Nam,"75 Giang Văn Minh, Ba Đình, Hà Nội","$ 800-1,200 /tháng","ReactJS, Front End, CSS, JavaScript, AngularJS",https://www.vietnamworks.com/reactjs-developer-front-end-1846875-jv?source=searchResults&searchType=2&placement=1847425&sortBy=latest,2 năm kinh nghiệm
Nhân Viên Quản Trị Mạng – Netwok Staff,Nhân Viên Quản Trị Mạng – Netwok Staff,,,Global Data Service Joint Stock Company (Gds),"Room No. 722, HITC Bldg, 239 Xuan Thuy, Cau Giay, Hanoi",Từ 14.5tr ₫/tháng,"Firewall, IT System Administration, CCNA, Cấu Hình Router",https://www.vietnamworks.com/nhan-vien-quan-tri-mang-netwok-staff--1853134-jv?source=searchResults&searchType=2&placement=1853284&sortBy=latest,1 năm kinh nghiệm
Senior Consultant | Technology Transformation (Financial Services) in HCMC & Hanoi Office,Senior Consultant | Technology Transformation Financial Services in HCMC & Hanoi Office,Senior,,Ernst & Young Vietnam Limited (EY Vietnam),"Bitexco Financial Tower, 28th Floor, 2 Hai Trieu street, District 1, Ho Chi Minh City & 8th Floor, Corner Stone Building, 16 Phan Chu Trinh, Hoan Kiem, Hanoi",Thương lượng,"Core Banking, Project Managing, Payment, CRM, Fintech",https://www.vietnamworks.com/senior-consultant-technology-transformation-financial-services-in-hcmc-hanoi-office-1853389-jv?source=searchResults&searchType=2&placement=1853489&sortBy=latest,2 năm kinh nghiệm
IT Engineer ( $500-$1000),IT Engineer $500-$1000,,,Công Ty TNHH Nanofab Việt Nam,"LOT CN10, TAN TRUONG INDUSTRIAL ZONE, TAN TRUONG COMMUNE, CAM GIANG DISTRICT, HAI DUONG PROVINCE, VIETNAM","$ 500-1,000 /tháng","CCNA, Công nghệ thông tin, IT System Development, Kĩ Thuật Mạng, LINUX",https://www.vietnamworks.com/it-engineer-dollar500-dollar1000-1850746-jv?source=searchResults&searchType=2&placement=1850996&sortBy=latest,Không yêu cầu năm kinh nghiệm
"Associate, IT/ IS","Associate, IT/ IS",,,NAB Innovation Centre Vietnam,"Tòa nhà The Hallmark, Đường Trần Bạch Đằng, P. Phú Thuận, An Khánh, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Thương lượng,"IT Helpdesk, Infrastructure Security, LAN, Windows Operating Systems, Mac",https://www.vietnamworks.com/associate-it-is--1848674-jv?source=searchResults&searchType=2&placement=1849074&sortBy=latest,2 năm kinh nghiệm
Chuyên Viên Vận Hành Cộng Đồng (Community Manager),Chuyên Viên Vận Hành Cộng Đồng Community Manager,,,"Cipherbox Co.,ltd",quận 1,$ 500-800 /tháng,,https://www.vietnamworks.com/chuyen-vien-van-hanh-cong-djong-community-manager-1852297-jv?source=searchResults&searchType=2&placement=1852497&sortBy=latest,1 năm kinh nghiệm
Nhân Viên IT Helpdesk,Nhân Viên IT Helpdesk,,,Công ty Cổ phần Logistics Hàng không (ALS),Tầng 4 - Nhà ga hàng hoá ALS - Phú Minh - Sóc Sơn - Hà Nội,12tr-16tr ₫/tháng,"Bảo Trì Hệ Thống Máy Tính, Xử Lý Sự Cố, Đọc Tiếng Anh, Lập Trình, Quản Lý Cở Sở Dữ Liệu",https://www.vietnamworks.com/nhan-vien-it-helpdesk-1851028-jv?source=searchResults&searchType=2&placement=1851278&sortBy=latest,1 năm kinh nghiệm
Business Applications Analyst,Business Applications Analyst,,,The Grand Ho Tram,"Ho Tram, Phuoc Thuan, Xuyen Moc, Ba Ria Vung Tau",Thương lượng,"IT System Administration, System Analyst, Project Management",https://www.vietnamworks.com/business-applications-analyst--1849822-jv?source=searchResults&searchType=2&placement=1850122&sortBy=latest,Không yêu cầu năm kinh nghiệm
Chuyên Viên IT,Chuyên Viên IT,,,Văn Phòng Phú Thái Group,"Văn phòng Phú Thái Hà Nội - Nam Đô Building - 609 Trương Định, Hoàng Mai, Hà Nội",Thương lượng,"Hệ Thống Networks, Microsoft Power BI, MySQL, Helpdesk, Quản Trị Hệ Thống",https://www.vietnamworks.com/chuyen-vien-it--1849914-jv?source=searchResults&searchType=2&placement=1850214&sortBy=latest,1 năm kinh nghiệm
"Fullstack Developer (Python/golang, Java/ ReactJS)","Fullstack Developer Python/golang, Java/ ReactJS",,,CT TNHH Next Wave Energy Monitoring,"Số 47-49 Hoàng Sa, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Thương lượng,"API, Java, ReactJs, Python, Software Development",https://www.vietnamworks.com/fullstack-developer-python-golang-java-reactjs-1855225-jv?source=searchResults&searchType=2&placement=1855225&sortBy=latest,1 năm kinh nghiệm
Chuyên Viên Cao Cấp An Ninh Ứng Dụng (Application Security Engineer),Chuyên Viên Cao Cấp An Ninh Ứng Dụng Application Security Engineer,,,Công Ty Cổ Phần Chứng Khoán SSI,1C Ngô Quyền - Hoàn Kiếm - Hà Nội,"$ 1,300-2,500 /tháng","Cybersecurity, Giao Tiếp, Penetration Testing, Secure Coding, An Ninh Ứng Dụng",https://www.vietnamworks.com/chuyen-vien-cao-cap-an-ninh-ung-dung-application-security-engineer-1854691-jv?source=searchResults&searchType=2&placement=1854741&sortBy=latest,1 năm kinh nghiệm
IT Salestech Business Analyst,IT Salestech Business Analyst,,,Nestlé Vietnam Limited,"Floor 5, Empress Tower, 138-142 Hai Ba Trung, Da Kao Ward, District 1, HCMC, Vietnam",Thương lượng,"Business Analysis, Product Management, Application Solution, Testing, Agile",https://www.vietnamworks.com/it-salestech-business-analyst--1851443-jv?source=searchResults&searchType=2&placement=1851693&sortBy=latest,3 năm kinh nghiệm
Tester Tiếng Hàn,Tester Tiếng Hàn,,,Snow Việt Nam,"The Sentry P, 5th Floor (16 Đ. Nguyễn Đăng Giai, Street, Ward, District 2, Ho Chi Minh City)",Tới $ 560 /tháng,"QA, Test Cases, Software Testing, Korean Language, Quality Control",https://www.vietnamworks.com/tester-tieng-han-1849234-jv?source=searchResults&searchType=2&placement=1849584&sortBy=latest,Không yêu cầu năm kinh nghiệm
[BD] Senior IT Consultant Manager,BD Senior IT Consultant Manager,Senior,,Bosch Global Software Technologies Company Limited,"Etown 2, 364 Cong Hoa street, ward 13, Tan Binh district, HCM",Thương lượng,Business analysis,https://www.vietnamworks.com/bd-senior-it-consultant-manager--1848994-jv?source=searchResults&searchType=2&placement=1849394&sortBy=latest,Không yêu cầu năm kinh nghiệm
Business Data Analyst (Based in Manila/ Philipines),Business Data Analyst Based in Manila/ Philipines,,,Gamma Interactive Inc.,"21st Floor Alphaland Makati Place, 7232 Ayala Avenue Makati City","$ 1,000-1,800 /tháng","Communication, Data Visualization, Python, SQL, Tableau",https://www.vietnamworks.com/business-data-analyst-based-in-manila-philipines--1845568-jv?source=searchResults&searchType=2&placement=1845568&sortBy=latest,1 năm kinh nghiệm
Senior Linux and Database Administrator,Senior Linux and Database Administrator,Senior,,Simpson Strong-Tie Vietnam Company Limited,"Vietnam, Simpson Strong-tie office – AGB building, 14 Tan Hai, Ward 13, Tan Binh District, HCMC.",Thương lượng,"Database Administration, Database Administration, Database Administration, Linux System Administration, Shell Script, SQL Server, SQL Server, SQL Tunning",https://www.vietnamworks.com/senior-linux-and-database-administrator-1850650-jv?source=searchResults&searchType=2&placement=1850950&sortBy=latest,3 năm kinh nghiệm
Kỹ Sư Hạ Tầng Mạng và Bảo Mật,Kỹ Sư Hạ Tầng Mạng và Bảo Mật,,,Công Ty TNHH Canon Việt Nam,"Lô A1, KCN Thăng Long, Kim Chung, Đông Anh, Hà Nội","$ 500-1,000 /tháng","LAN, WAN, Wireless, SCCM, Hệ Thống Antivirus",https://www.vietnamworks.com/ky-su-ha-tang-mang-va-bao-mat-1848190-jv?source=searchResults&searchType=2&placement=1848640&sortBy=latest,Không yêu cầu năm kinh nghiệm
"Senior Associate, Product Operations, SPX Express (prefer QA/QC Manual background)","Senior Associate, Product Operations, SPX Express prefer QA/QC Manual background",Senior,,CÔNG TY TNHH SPX EXPRESS,,"$ 1,000-1,300 /tháng","QC Systems, QC Training, Software Manual Testing, Software Testing, UAT testing",https://www.vietnamworks.com/senior-associate-product-operations-spx-express-prefer-qaqc-manual-background-1848256-jv?source=searchResults&searchType=2&placement=1848706&sortBy=latest,3 năm kinh nghiệm
Senior Data Engineer,Senior Data Engineer,Senior,,CÔNG TY CỔ PHẦN GREENFEED VIỆT NAM,"72-74 Nguyễn Thị Minh Khai, phường 6, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Thương lượng,"AWS, AWS, Data Warehouse Systems, Python, SQL, SQL Server, SQL Server",https://www.vietnamworks.com/senior-data-engineer-1847140-jv?source=searchResults&searchType=2&placement=1847640&sortBy=latest,3 năm kinh nghiệm
Chuyên Viên Công Nghệ Thông Tin,Chuyên Viên Công Nghệ Thông Tin,,,Công Ty Cổ Phần Địa Ốc Tsan Group,"Diamond Flower Tower, 48 Đường Lê Văn Lương, Trung Hòa Nhân Chính, Nhân Chính, Thanh Xuân, Hà Nội, Việt Nam","$ 1,000-1,200 /tháng","Công Nghệ Thông Tin, IT System Administration, IT Support, Hệ Thống Mạng, LAN",https://www.vietnamworks.com/chuyen-vien-cong-nghe-thong-tin--1853500-jv?source=searchResults&searchType=2&placement=1853600&sortBy=latest,Không yêu cầu năm kinh nghiệm
Chuyên Viên Quản Trị Hệ Thống Mạng Điện Thoại và Hệ Thống Camera,Chuyên Viên Quản Trị Hệ Thống Mạng Điện Thoại và Hệ Thống Camera,,,TRƯỜNG ĐẠI HỌC BÁCH KHOA ĐHQG-HCM,"268 Lý Thường Kiệt, phường 14, Quận 10, Hồ Chí Minh, Việt Nam",Từ $ 500 /tháng,"Bảo Trì Hệ Thống, Giám Sát Camera, Quản Trị Hệ Thống Mạng, Công nghệ thông tin, Hạ Tầng Kỹ Thuật",https://www.vietnamworks.com/chuyen-vien-quan-tri-he-thong-mang-dien-thoai-va-he-thong-camera-1853461-jv?source=searchResults&searchType=2&placement=1853561&sortBy=latest,1 năm kinh nghiệm
Flutter Developer (Mobile/ Windows),Flutter Developer Mobile/ Windows,,,Bosch Global Software Technologies Company Limited,"Etown 2, 364 Cong Hoa street, ward 13, Tan Binh district, HCM",Thương lượng,"Flutter, Android, Android Flutter Dart, Ios/Android, OS System",https://www.vietnamworks.com/flutter-developer-mobile-windows--1854865-jv?source=searchResults&searchType=2&placement=1854865&sortBy=latest,Không yêu cầu năm kinh nghiệm
UX Researcher,UX Researcher,,,Techcombank,"Số 6 Quang Trung, phường Trần Hưng Đạo, Quận Hoàn Kiếm, Thành Phố Hà Nội","$ 1,000-2,000 /tháng","Agile, Graphic Design, Photoshop, Usability Testing, UX Research",https://www.vietnamworks.com/ux-researcher-1849407-jv?source=searchResults&searchType=2&placement=1849757&sortBy=latest,7 năm kinh nghiệm
IT Security Engineer,IT Security Engineer,,,Sabeco - Tổng Công Ty Cổ Phần Bia - Rượu - Nước Giải Khát Sài Gòn,"Lầu 5 VincomB, 45 A Lý Tự Trọng, Bến Nghé, Quận 1, Hồ Chí Minh",Thương lượng,"IT Security, IT Governance, Cyber Risk Management, IT Operations, Network Technology",https://www.vietnamworks.com/it-security-engineer-8-1--1855758-jv?source=searchResults&searchType=2&placement=1855758&sortBy=latest,Không yêu cầu năm kinh nghiệm
